Generator,DUID,Region,SP2023-24,SP2024-25,SP2025-26,SP2026-27,SP2027-28,SP2028-29,SP2029-30,SP2030-31,SP2031-32,SP2032-33,ST2023-24,ST2024-25,ST2025-26,ST2026-27,ST2027-28,ST2028-29,ST2029-30,ST2030-31,ST2031-32,ST2032-33,W2023,W2024,W2025,W2026,W2027,W2028,W2029,W2030,W2031,W2032
Uranquinty,URANQ13,NSW,160,160,160,160,160,160,160,160,160,160,164,164,164,164,164,164,164,164,164,164,173,173,173,173,173,173,173,173,173,173
Uranquinty,URANQ14,NSW,160,160,160,160,160,160,160,160,160,160,164,164,164,164,164,164,164,164,164,164,173,173,173,173,173,173,173,173,173,173
Valley Power,VPGS1,VIC,48,48,48,48,48,48,48,48,48,48,50,50,50,50,50,50,50,50,50,50,56,56,56,56,56,56,56,56,56,56
Valley Power,VPGS2,VIC,48,48,48,48,48,48,48,48,48,48,50,50,50,50,50,50,50,50,50,50,56,56,56,56,56,56,56,56,56,56
Valley Power,VPGS3,VIC,48,48,48,48,48,48,48,48,48,48,50,50,50,50,50,50,50,50,50,50,56,56,56,56,56,56,56,56,56,56
Valley Power,VPGS4,VIC,48,48,48,48,48,48,48,48,48,48,50,50,50,50,50,50,50,50,50,50,56,56,56,56,56,56,56,56,56,56
Valley Power,VPGS5,VIC,48,48,48,48,48,48,48,48,48,48,50,50,50,50,50,50,50,50,50,50,56,56,56,56,56,56,56,56,56,56
Valley Power,VPGS6,VIC,48,48,48,48,48,48,48,48,48,48,50,50,50,50,50,50,50,50,50,50,56,56,56,56,56,56,56,56,56,56
Yarwun Cogen,YARWUN_1,QLD,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Barron Gorge,BARRON-1,QLD,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
Barron Gorge,BARRON-2,QLD,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
Bastyan,BASTYAN,TAS,81,81,81,81,0,84,84,84,84,84,81,81,81,81,0,84,84,84,84,84,81,81,81,81,81,0,84,84,84,84
Blowering,BLOWERNG,NSW,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Bogong / Mackay,BOGONG1,VIC,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Bogong / Mackay,BOGONG2,VIC,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Bogong / Mackay,MCKAY11,VIC,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
Bogong / Mackay,MCKAY12,VIC,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
Bogong / Mackay,MCKAY13,VIC,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
Bogong / Mackay,MCKAY14,VIC,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
Bogong / Mackay,MCKAY15,VIC,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
Bogong / Mackay,MCKAY16,VIC,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
Catagunya / Liapootah / Wayatinah,CA111-1,TAS,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Catagunya / Liapootah / Wayatinah,CA112-2,TAS,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,24,24
Catagunya / Liapootah / Wayatinah,LI111-1,TAS,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Catagunya / Liapootah / Wayatinah,LI112-2,TAS,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Catagunya / Liapootah / Wayatinah,LI113-3,TAS,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Catagunya / Liapootah / Wayatinah,WY111-1,TAS,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Catagunya / Liapootah / Wayatinah,WY111-2,TAS,13,13,0,13,13,13,13,13,13,13,13,13,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Catagunya / Liapootah / Wayatinah,WY111-3,TAS,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Cethana,CETHANA,TAS,95,0,95,95,95,95,95,95,95,95,95,0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Dartmouth,DARTM1,VIC,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
Devils Gate,DEVILS_G,TAS,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
Eildon,EILDON1,VIC,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Eildon,EILDON2,VIC,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Fisher,FISHER,TAS,46,0,46,46,0,46,46,46,46,46,46,0,46,46,0,46,46,46,46,46,46,46,46,46,46,0,46,46,46,46
Gordon,GO181-1,TAS,126,126,0,126,126,126,126,126,126,126,126,126,0,126,126,126,126,126,126,126,126,126,0,126,126,126,126,126,126,126
Gordon,GO182-2,TAS,0,126,126,126,126,126,126,126,126,126,0,126,126,126,126,126,126,126,126,126,126,0,126,126,126,126,126,126,126,126
Gordon,GO183-3,TAS,126,126,126,126,126,0,126,126,126,126,126,126,126,126,126,0,126,126,126,126,126,126,126,126,126,126,0,126,126,126
Guthega,GUTHEGA1,NSW,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
Guthega,GUTHEGA2,NSW,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
Hume Dam NSW,HUMENSW,NSW,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,0,0,0,0,0,0,0,0,0,0
Hume Dam VIC,HUMEV,VIC,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,0,0,0,0,0,0,0,0,0,0
John Butters,JBUTTERS,TAS,140,140,140,140,0,144,144,144,144,144,140,140,140,140,0,144,144,144,144,144,140,140,140,140,140,144,144,144,144,144
Kareeya,KAREEYA1,QLD,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Kareeya,KAREEYA2,QLD,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Kareeya,KAREEYA3,QLD,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Kareeya,KAREEYA4,QLD,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Lake Echo,LK_ECHO,TAS,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Lemonthyme / Wilmot,LM111-1,TAS,0,0,55,55,55,0,55,55,55,55,0,0,55,55,55,0,55,55,55,55,54,55,0,55,55,55,55,55,55,55
Lemonthyme / Wilmot,WI111-1,TAS,33,33,33,33,0,33,33,33,33,33,33,33,33,33,0,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
Mackintosh,MACKNTSH,TAS,81,81,81,0,84,84,84,84,84,84,81,81,81,0,84,84,84,84,84,84,81,81,81,81,0,84,84,84,84,84
Meadowbank,MEADOWBK,TAS,44,44,44,0,44,44,44,44,44,44,44,44,44,0,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
Murray 1,MURRAY01,VIC,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,0,95,95,95,95,95,95,95
Murray 1,MURRAY02,VIC,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Murray 1,MURRAY03,VIC,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,0,95,95,95,95,95,95,95,95
Murray 1,MURRAY04,VIC,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,0,95,95,95,95,95,95
Murray 1,MURRAY05,VIC,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,0,95,95,95,95,95,95,95,95,95
Murray 1,MURRAY06,VIC,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,0,95,95,95,95,95
Murray 1,MURRAY07,VIC,0,95,95,95,95,95,95,95,95,95,0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Murray 1,MURRAY08,VIC,0,95,95,95,95,95,95,95,95,95,0,95,95,95,95,95,95,95,95,95,0,95,95,95,95,95,95,95,95,95
Murray 1,MURRAY09,VIC,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,0,95,95,0,95,95,95,95
Murray 1,MURRAY10,VIC,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,0,95,95,95,95,95,95,95,95
Murray 2,MURRAY11,VIC,138,150,150,150,150,150,150,150,150,150,138,150,150,150,150,150,150,150,150,150,138,0,150,150,150,150,150,150,150,150
Murray 2,MURRAY12,VIC,0,150,150,150,150,150,150,150,150,150,0,150,150,150,150,150,150,150,150,150,0,150,150,150,150,150,150,150,150,150
Murray 2,MURRAY13,VIC,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,0,150,150,150,150,150,150
Murray 2,MURRAY14,VIC,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,0,150,150,150,150,150,150,150
Poatina,PO161-1,TAS,57,57,0,57,57,57,0,57,57,57,57,57,0,57,57,57,0,57,57,57,57,57,57,0,57,57,57,57,57,57
Poatina,PO162-2,TAS,57,57,57,57,57,0,57,0,57,57,57,57,57,57,57,0,57,0,57,57,57,57,57,0,57,0,57,57,57,57
Poatina,PO163-3,TAS,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,0,0,57,57,57,0,57,57
Poatina,PO164-4,TAS,57,57,57,57,0,57,57,57,57,0,57,57,57,57,0,57,57,57,57,0,57,57,57,0,57,57,57,57,57,57
Poatina,PO165-5,TAS,57,0,57,57,57,57,57,57,57,57,57,0,57,57,57,57,57,57,57,57,57,0,57,0,57,57,57,57,57,57
Poatina,PO166-6,TAS,57,57,57,0,57,57,57,57,0,57,57,57,57,0,57,57,57,57,0,57,57,57,57,0,0,57,57,0,57,57
Reece,REECE1,TAS,116,116,116,116,116,0,120,120,120,120,116,116,116,116,116,0,120,120,120,120,116,116,116,116,116,116,0,120,120,120
Reece,REECE2,TAS,116,116,116,116,116,116,0,120,120,120,116,116,116,116,116,116,0,120,120,120,116,116,116,116,116,116,116,0,120,120
Shoalhaven,SHGEN01,NSW,40,41,41,41,41,41,41,41,41,41,40,41,41,41,41,41,41,41,41,41,40,41,41,41,41,41,41,41,41,41
Shoalhaven,SHGEN02,NSW,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
Shoalhaven,SHGEN03,NSW,80,80,83,83,83,83,83,83,83,83,80,80,83,83,83,83,83,83,83,83,80,80,83,83,83,83,83,83,83,83
Shoalhaven,SHGEN04,NSW,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
Tarraleah,TA111-1,TAS,12,12,14,14,12,12,12,12,12,12,12,12,14,14,12,12,12,12,12,12,14,0,12,14,14,12,12,12,12,12
Tarraleah,TA111-2,TAS,12,12,14,0,12,12,12,12,12,12,12,12,14,0,12,12,12,12,12,12,14,12,12,14,14,12,12,12,12,12
Tarraleah,TA111-3,TAS,0,12,0,14,12,12,12,12,12,12,0,12,0,14,12,12,12,12,12,12,12,12,12,0,14,12,12,12,12,12
Tarraleah,TA112-4,TAS,12,12,14,14,12,12,12,12,12,12,12,12,14,14,12,12,12,12,12,12,14,12,12,14,14,12,12,12,12,12
Tarraleah,TA112-5,TAS,12,12,14,14,12,12,12,12,12,12,12,12,14,14,12,12,12,12,12,12,14,12,12,14,14,12,12,12,12,12
Tarraleah,TA112-6,TAS,12,12,14,14,12,12,12,12,12,12,12,12,14,14,12,12,12,12,12,12,0,12,12,14,14,12,12,12,12,12
Trevallyn,TR111-1,TAS,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Trevallyn,TR111-2,TAS,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Trevallyn,TR112-3,TAS,30,30,30,0,30,30,30,30,30,30,30,30,30,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Trevallyn,TR112-4,TAS,30,30,30,30,0,30,30,30,30,30,30,30,30,30,0,30,30,30,30,30,30,30,30,30,30,0,30,30,30,30
Tribute,TRIBUTE,TAS,88,88,88,88,88,88,88,0,88,88,88,88,88,88,88,88,88,0,88,88,88,88,88,88,88,88,88,88,0,88
Tumut 3,TUMUT3_01,NSW,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Tumut 3,TUMUT3_02,NSW,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Tumut 3,TUMUT3_03,NSW,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Tumut 3,TUMUT3_04,NSW,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Tumut 3,TUMUT3_05,NSW,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Tumut 3,TUMUT3_06,NSW,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Tungatinah,TU111-1,TAS,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
Tungatinah,TU112-2,TAS,26,26,26,26,26,26,0,26,26,26,26,26,26,26,26,26,0,26,26,26,26,26,26,26,26,26,26,26,26,26
Tungatinah,TU113-3,TAS,26,26,26,26,26,26,0,26,26,26,26,26,26,26,26,26,0,26,26,26,26,26,26,26,26,26,26,26,26,26
Tungatinah,TU114-4,TAS,26,26,0,26,26,26,26,26,26,26,26,26,0,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
Tungatinah,TU115-5,TAS,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
Upper Tumut,TUMUT1_01,NSW,93,93,93,103,103,103,103,103,103,103,93,93,93,103,103,103,103,103,103,103,93,93,93,0,103,103,103,103,103,103
Upper Tumut,TUMUT1_02,NSW,93,93,93,93,103,103,103,103,103,103,93,93,93,93,103,103,103,103,103,103,93,93,93,93,0,103,103,103,103,103
Upper Tumut,TUMUT1_03,NSW,93,93,93,93,93,103,103,103,103,103,93,93,93,93,93,103,103,103,103,103,93,93,93,93,93,0,103,103,103,103
Upper Tumut,TUMUT1_04,NSW,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,0,103,103,103
Upper Tumut,TUMUT2_01,NSW,73,73,73,78,78,78,78,78,78,78,73,73,73,78,78,78,78,78,78,78,73,73,73,0,78,78,78,78,78,78
Upper Tumut,TUMUT2_02,NSW,73,73,73,73,78,78,78,78,78,78,73,73,73,73,78,78,78,78,78,78,73,73,73,73,0,78,78,78,78,78
Upper Tumut,TUMUT2_03,NSW,73,73,73,73,73,78,78,78,78,78,73,73,73,73,73,78,78,78,78,78,73,73,73,73,73,0,78,78,78,78
Upper Tumut,TUMUT2_04,NSW,73,73,73,73,73,73,78,78,78,78,73,73,73,73,73,73,78,78,78,78,73,73,73,73,73,73,0,78,78,78
West Kiewa,WKIEWA1_1,VIC,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
West Kiewa,WKIEWA1_2,VIC,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
West Kiewa,WKIEWA2_1,VIC,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
West Kiewa,WKIEWA2_2,VIC,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Wivenhoe,W/HOE#1,QLD,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
Wivenhoe,W/HOE#2,QLD,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
Adelaide Desalination Plant Solar Farm,ADPPV1,SA,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Avonlie Solar Farm,AVLSF1,NSW,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
Bannerton Solar Park,BANN1,VIC,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,88,88,88,88,88,88,88,88,88,88
Beryl Solar Farm,BERYLSF1,NSW,77,77,77,77,77,77,77,77,77,77,83,83,83,83,83,83,83,83,83,83,87,87,87,87,87,87,87,87,87,87
Bluegrass Solar Farm,BLUEGSF1,QLD,145,144,144,143,142,142,141,140,140,139,145,144,144,143,142,142,141,140,140,139,148,147,147,146,146,145,145,144,144,143
Bolivar Waste Water Treatment Solar Farm,BOWWPV1,SA,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Bomen Solar Farm,BOMENSF1,NSW,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,100,100,100,100,100,100,100,100,100,100
Broken Hill Solar Farm,BROKENH1,NSW,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
Bungala One Solar Farm,BNGSF1,SA,105,105,105,105,105,105,105,105,105,105,110,110,110,110,110,110,110,110,0,0,110,110,110,110,110,110,110,110,110,110
Bungala Two Solar Farm,BNGSF2,SA,105,105,105,105,105,105,105,105,105,105,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
Childers Solar Farm,CHILDSF1,QLD,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
Clare Solar Farm,CLARESF1,QLD,95,95,95,95,95,95,95,95,95,95,97,97,97,97,97,97,97,97,97,97,100,100,100,100,100,100,100,100,100,100
Clermont Solar Farm,CLERMSF1,QLD,71,71,71,71,71,71,71,71,71,71,73,73,73,73,73,73,73,73,73,73,75,75,75,75,75,75,75,75,75,75
Cohuna Solar Farm,COHUNSF1,VIC,25,25,25,25,25,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
Coleambally Solar Farm,COLEASF1,NSW,150,150,150,150,150,150,151,150,150,150,150,150,150,150,150,150,151,150,150,150,150,150,150,150,150,150,150,150,150,150
Collinsville Solar Farm,CSPVPS1,QLD,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,43,43,43,43,43,43,43,43,43,43
Columboola Solar Farm,COLUMSF1,QLD,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
Corowa Solar Farm,CRWASF1,NSW,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Darling Downs Solar Farm,DDSF1,QLD,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,110,110,110,110,110,110,110,110,110,110
Darlington Point Solar Farm,DARLSF1,NSW,263,263,263,263,263,263,263,263,263,263,266,266,266,266,266,266,266,266,266,266,275,275,275,275,275,275,275,275,275,275
Daydream Solar Farm,DAYDSF1,QLD,146,146,146,146,146,146,146,146,146,146,147,147,147,147,147,147,147,147,147,147,150,150,150,150,150,150,150,150,150,150
Edenvale Solar Park,EDENVSF1,QLD,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
Emerald Solar Farm,EMERASF1,QLD,68,68,68,68,68,68,68,68,68,68,69,69,69,69,69,69,69,69,69,69,72,72,72,72,72,72,72,72,72,72
Finley Solar Farm,FINLYSF1,NSW,117,117,117,117,117,117,117,117,117,117,130,130,130,130,130,130,130,130,130,130,133,133,133,133,133,133,133,133,133,133
Gangarri Solar Farm,GANGARR1,QLD,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
Gannawarra Solar Farm,GANNSF1,VIC,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50
Glenrowan West Solar Farm,GLRWNSF1,VIC,103,103,103,103,103,103,103,103,103,103,107,107,107,107,107,107,107,107,107,107,110,110,110,110,110,110,110,110,110,110
Goonumbla Solar Farm,GOONSF1,NSW,68,68,68,68,68,68,68,68,68,68,69,69,69,69,69,69,69,69,69,69,70,70,70,70,70,70,70,70,70,70
Gullen Range Solar Farm,GULLRSF1,NSW,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Gunnedah Solar Farm,GNNDHSF1,NSW,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
Hamilton Solar Farm,HAMISF1,QLD,54,54,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56
Happy Valley Reservoir,HVWWPV1,SA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Haughton Solar Farm,HAUGHT11,QLD,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Hayman Solar Farm,HAYMSF1,QLD,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,50,50,50,50,50,50,50,50,50,50
Hillston Sun Farm,HILLSTN1,NSW,77,77,77,77,77,77,77,77,77,77,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
Hughenden Solar Farm,HUGSF1,QLD,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Jemalong Solar,JEMALNG1,NSW,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Junee Solar Farm,JUNEESF1,NSW,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Karadoc Solar Farm,KARSF1,VIC,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Kennedy Energy Park Solar Farm,KEPSF1,QLD,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Kiamal Solar Farm stage 1,KIAMSF1,VIC,189,189,189,189,189,189,189,189,189,189,198,198,198,198,198,198,198,198,198,198,200,200,200,200,200,200,200,200,200,200
Kidston Solar Farm,KSP1,QLD,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
Lilyvale Solar Farm,LILYSF1,QLD,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,100,100,100,100,100,100,100,100,100,100
Limondale Solar Farm 1,LIMOSF11,NSW,207,207,207,207,207,207,207,207,207,207,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220
Limondale Solar Farm 2,LIMOSF21,NSW,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Longreach Solar Farm,LRSF1,QLD,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Manildra Solar Farm,MANSLR1,NSW,43,43,43,43,43,43,43,43,43,43,45,45,45,45,45,45,45,45,45,45,47,47,47,47,47,47,47,47,47,47
Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),MAPS2PV1,SA,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17
Mannum Adelaide Pumping Station No 3 - MAPL3 (Tungkillo),MAPS3PV1,SA,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Maryrorough Solar Farm,MARYRSF1,QLD,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
Middlemount Solar Farm,MIDDLSF1,QLD,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
Molong Solar Farm,MOLNGSF1,NSW,32,32,32,32,32,32,32,32,32,32,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
Moree Solar Farm,MOREESF1,NSW,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,MWPS1PV1,SA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Morgan To Whyalla Pipeline No 2 PS,MWPS2PV1,SA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Morgan To Whyalla Pipeline No 3 PS,MWPS3PV1,SA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
