Region,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54
NSW,7593,8343,9090,9852,10868,11941,13005,14006,14935,15816,16702,17608,18558,19382,20119,20856,21627,22316,22987,23672,24402,25112,25930,26810,27751,28632,29526,30451,31437,32325,33213 
QLD,7480,8077,8684,9296,10035,10795,11605,12410,13179,13877,14590,15305,16048,16665,17234,17783,18365,18879,19429,19991,20604,21178,21853,22559,23321,24020,24775,25535,26346,27047,27784 
SA,2835,3009,3176,3351,3593,3858,4122,4384,4632,4869,5094,5327,5567,5775,5950,6136,6330,6508,6663,6829,7008,7191,7383,7593,7813,8026,8227,8444,8672,8888,9082 
TAS,303,337,370,404,451,505,558,608,653,699,743,790,840,888,931,977,1025,1072,1114,1158,1200,1243,1287,1336,1387,1439,1486,1535,1584,1632,1675 
VIC,4934,5609,6266,6936,7673,8384,9036,9665,10254,10842,11415,12028,12682,13310,13877,14482,15119,15740,16309,16901,17508,18144,18809,19545,20319,21103,21852,22658,23498,24319,25073 
