Region,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54
NSW,6467,7081,7695,8360,9250,10121,10997,11748,12469,13204,13934,14674,15414,16039,16643,17234,17822,18390,18948,19503,20051,20697,21422,22124,22856,23602,24356,25103,25851,26599,27346 
QLD,5977,6446,6916,7400,7993,8598,9245,9836,10392,10945,11498,12044,12583,13036,13469,13880,14297,14724,15156,15587,16026,16528,17080,17613,18169,18754,19347,19922,20499,21076,21652 
SA,2321,2458,2596,2746,2955,3166,3386,3585,3773,3959,4145,4331,4511,4659,4807,4954,5099,5234,5366,5499,5631,5787,5959,6121,6287,6457,6631,6802,6972,7141,7308 
TAS,296,327,358,393,441,491,542,584,625,667,710,754,800,842,884,927,970,1012,1053,1092,1129,1170,1216,1261,1306,1353,1400,1444,1487,1530,1573 
VIC,4688,5284,5880,6484,7149,7741,8343,8862,9372,9896,10435,10988,11563,12090,12624,13168,13715,14255,14791,15308,15824,16417,17080,17728,18402,19097,19819,20532,21248,21966,22687 
