Generator,Generator type,Region,ISP sub-region,REZ location,Cost zone,Summer Peak Rating,Summer Typical Rating,Winter Rating,Maintenance time out (%),Days out equivalent,Build cost ($/kW),Connection cost ($/kW),Total lead time (years),Economic life (years),Technical life (years),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat rate (GJ/MWh HHV s.o.),Fuel cost ($/GJ),Emissions (kg/MWh),Auxiliary load (%),SRMC ($/MWh)
Large scale Solar PV,Solar,QLD,CQ,Barcaldine,QLD Medium,100.00,100.00,100.00,0.00,0.00,1790.03,150.00,2,30,30,20.36,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,QLD,CQ,Fitzroy,QLD Low,100.00,100.00,100.00,0.00,0.00,1697.75,250.33,2,30,30,18.18,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,QLD,SQ,Wide Bay,QLD Low,100.00,100.00,100.00,0.00,0.00,1697.75,113.33,2,30,30,18.18,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,QLD,SQ,Darling Downs,QLD Low,100.00,100.00,100.00,0.00,0.00,1697.75,116.67,2,30,30,18.18,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,QLD,SQ,Banana,QLD Medium,100.00,100.00,100.00,0.00,0.00,1790.03,367.00,2,30,30,20.36,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,NSW,NNSW,North West NSW,NSW Medium,100.00,100.00,100.00,0.00,0.00,1788.35,135.00,2,30,30,19.63,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,NSW,NNSW,New England,NSW Low,100.00,100.00,100.00,0.00,0.00,1697.75,135.00,2,30,30,18.18,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,NSW,CNSW,Central-West Orana,NSW Medium,100.00,100.00,100.00,0.00,0.00,1788.35,135.00,2,30,30,19.63,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,NSW,SNSW,Broken Hill,NSW High,100.00,100.00,100.00,0.00,0.00,1841.64,176.00,2,30,30,21.27,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,NSW,SNSW,South West NSW,NSW High,100.00,100.00,100.00,0.00,0.00,1841.64,135.00,2,30,30,21.27,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,NSW,SNSW,Wagga Wagga,NSW Medium,100.00,100.00,100.00,0.00,0.00,1788.35,272.00,2,30,30,19.63,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,NSW,SNSW,Tumut,NSW Medium,100.00,100.00,100.00,0.00,0.00,1788.35,100.00,2,30,30,19.63,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,NSW,SNSW,Cooma-Monaro,NSW Medium,100.00,100.00,100.00,0.00,0.00,1788.35,100.00,2,30,30,19.63,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,NSW,CNSW,Hunter-Central Coast,NSW Low,100.00,100.00,100.00,0.00,0.00,1697.75,100.00,2,30,30,18.18,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,NSW,SNW,Illawarra,NSW Low,100.00,100.00,100.00,0.00,0.00,1697.75,100.00,2,30,30,18.18,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,VIC,VIC,Ovens Murray,VIC Medium,100.00,100.00,100.00,0.00,0.00,1714.39,136.00,2,30,30,18.72,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,VIC,VIC,Murray River,VIC Medium,100.00,100.00,100.00,0.00,0.00,1714.39,269.00,2,30,30,18.72,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,VIC,VIC,Western Victoria,VIC Medium,100.00,100.00,100.00,0.00,0.00,1714.39,277.00,2,30,30,18.72,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,VIC,VIC,South West Victoria,VIC Medium,100.00,100.00,100.00,0.00,0.00,1714.39,277.00,2,30,30,18.72,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,VIC,VIC,Gippsland,VIC Low,100.00,100.00,100.00,0.00,0.00,1697.75,340.00,2,30,30,18.18,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,VIC,VIC,Central North Vic,VIC High,100.00,100.00,100.00,0.00,0.00,1713.05,321.00,2,30,30,19.09,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,SA,SESA,South East SA,SA Low,100.00,100.00,100.00,0.00,0.00,1697.75,287.00,2,30,30,18.18,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,SA,CSA,Riverland,SA Low,100.00,100.00,100.00,0.00,0.00,1697.75,166.67,2,30,30,18.18,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,SA,CSA,Mid-North SA,SA Low,100.00,100.00,100.00,0.00,0.00,1697.75,257.00,2,30,30,18.18,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,SA,CSA,Yorke Peninsula,SA Low,100.00,100.00,100.00,0.00,0.00,1697.75,120.00,2,30,30,18.18,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,SA,CSA,Northern SA,SA Medium,100.00,100.00,100.00,0.00,0.00,1773.90,250.34,2,30,30,20.36,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,SA,CSA,Leigh Creek,SA Medium,100.00,100.00,100.00,0.00,0.00,1773.90,153.33,2,30,30,20.36,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,SA,CSA,Roxby Downs,SA Medium,100.00,100.00,100.00,0.00,0.00,1773.90,283.67,2,30,30,20.36,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,SA,CSA,Eastern Eyre Peninsula,SA Medium,100.00,100.00,100.00,0.00,0.00,1773.90,283.67,2,30,30,20.36,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,SA,CSA,Western Eyre Peninsula,SA Medium,100.00,100.00,100.00,0.00,0.00,1773.90,146.67,2,30,30,20.36,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,TAS,TAS,North East Tasmania,TAS Low,100.00,100.00,100.00,0.00,0.00,1697.75,410.33,2,30,30,18.18,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,TAS,TAS,North West Tasmania,TAS Medium,100.00,100.00,100.00,0.00,0.00,1781.29,377.00,2,30,30,19.81,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,TAS,TAS,Central Highlands,TAS Low,100.00,100.00,100.00,0.00,0.00,1697.75,357.00,2,30,30,18.18,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,NSW,CNSW,New South Wales Non-REZ,NSW Medium,100.00,100.00,100.00,0.00,0.00,1788.35,367.00,2,30,30,19.63,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,VIC,VIC,Victoria Non-REZ,VIC Medium,100.00,100.00,100.00,0.00,0.00,1714.39,347.00,2,30,30,18.72,-  ,0.00,0.00,0.00,0.02,-   
Solar Thermal (15hrs storage),Solar,QLD,NQ,Far North QLD,QLD Low,100.00,100.00,100.00,1.92,7.00,6977.18,253.67,6,25,40,141.15,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,QLD,NQ,North Qld Clean Energy Hub,QLD Low,100.00,100.00,100.00,1.92,7.00,6977.18,297.00,6,25,40,141.15,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,QLD,NQ,Northern Qld,QLD Low,100.00,100.00,100.00,1.92,7.00,6977.18,253.67,6,25,40,141.15,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,QLD,CQ,Isaac,QLD Low,100.00,100.00,100.00,1.92,7.00,6977.18,250.33,6,25,40,141.15,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,QLD,CQ,Barcaldine,QLD Medium,100.00,100.00,100.00,1.92,7.00,7461.40,150.00,6,25,40,158.09,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,QLD,CQ,Fitzroy,QLD Low,100.00,100.00,100.00,1.92,7.00,6977.18,250.33,6,25,40,141.15,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,QLD,SQ,Wide Bay,QLD Low,100.00,100.00,100.00,1.92,7.00,6977.18,113.33,6,25,40,141.15,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,QLD,SQ,Darling Downs,QLD Low,100.00,100.00,100.00,1.92,7.00,6977.18,116.67,6,25,40,141.15,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,QLD,SQ,Banana,QLD Medium,100.00,100.00,100.00,1.92,7.00,7461.40,367.00,6,25,40,158.09,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,NSW,NNSW,North West NSW,NSW Medium,100.00,100.00,100.00,1.92,7.00,7395.12,135.00,6,25,40,152.44,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,NSW,NNSW,New England,NSW Low,100.00,100.00,100.00,1.92,7.00,6977.18,135.00,6,25,40,141.15,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,NSW,CNSW,Central-West Orana,NSW Medium,100.00,100.00,100.00,1.92,7.00,7395.12,135.00,6,25,40,152.44,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,NSW,SNSW,Broken Hill,NSW High,100.00,100.00,100.00,1.92,7.00,7787.23,176.00,6,25,40,165.14,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,NSW,SNSW,South West NSW,NSW High,100.00,100.00,100.00,1.92,7.00,7787.23,135.00,6,25,40,165.14,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,NSW,SNSW,Wagga Wagga,NSW Medium,100.00,100.00,100.00,1.92,7.00,7395.12,272.00,6,25,40,152.44,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,NSW,SNSW,Tumut,NSW Medium,100.00,100.00,100.00,1.92,7.00,7395.12,100.00,6,25,40,152.44,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,NSW,SNSW,Cooma-Monaro,NSW Medium,100.00,100.00,100.00,1.92,7.00,7395.12,100.00,6,25,40,152.44,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,NSW,CNSW,Hunter-Central Coast,NSW Low,100.00,100.00,100.00,1.92,7.00,6977.18,100.00,6,25,40,141.15,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,NSW,SNW,Illawarra,NSW Low,100.00,100.00,100.00,1.92,7.00,6977.18,100.00,6,25,40,141.15,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,VIC,VIC,Ovens Murray,VIC Medium,100.00,100.00,100.00,1.92,7.00,7162.78,136.00,6,25,40,145.38,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,VIC,VIC,Murray River,VIC Medium,100.00,100.00,100.00,1.92,7.00,7162.78,269.00,6,25,40,145.38,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,VIC,VIC,Western Victoria,VIC Medium,100.00,100.00,100.00,1.92,7.00,7162.78,277.00,6,25,40,145.38,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,VIC,VIC,South West Victoria,VIC Medium,100.00,100.00,100.00,1.92,7.00,7162.78,277.00,6,25,40,145.38,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,VIC,VIC,Gippsland,VIC Low,100.00,100.00,100.00,1.92,7.00,6977.18,340.00,6,25,40,141.15,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,VIC,VIC,Central North Vic,VIC High,100.00,100.00,100.00,1.92,7.00,7277.90,321.00,6,25,40,148.20,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,SA,SESA,South East SA,SA Low,100.00,100.00,100.00,1.92,7.00,6977.18,287.00,6,25,40,141.15,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,SA,CSA,Riverland,SA Low,100.00,100.00,100.00,1.92,7.00,6977.18,166.67,6,25,40,141.15,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,SA,CSA,Mid-North SA,SA Low,100.00,100.00,100.00,1.92,7.00,6977.18,257.00,6,25,40,141.15,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,SA,CSA,Yorke Peninsula,SA Low,100.00,100.00,100.00,1.92,7.00,6977.18,120.00,6,25,40,141.15,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,SA,CSA,Northern SA,SA Medium,100.00,100.00,100.00,1.92,7.00,7450.24,250.34,6,25,40,158.09,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,SA,CSA,Leigh Creek,SA Medium,100.00,100.00,100.00,1.92,7.00,7450.24,153.33,6,25,40,158.09,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,SA,CSA,Roxby Downs,SA Medium,100.00,100.00,100.00,1.92,7.00,7450.24,283.67,6,25,40,158.09,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,SA,CSA,Eastern Eyre Peninsula,SA Medium,100.00,100.00,100.00,1.92,7.00,7450.24,283.67,6,25,40,158.09,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,SA,CSA,Western Eyre Peninsula,SA Medium,100.00,100.00,100.00,1.92,7.00,7450.24,146.67,6,25,40,158.09,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,TAS,TAS,North East Tasmania,TAS Low,100.00,100.00,100.00,1.92,7.00,6977.18,410.33,6,25,40,141.15,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,TAS,TAS,North West Tasmania,TAS Medium,100.00,100.00,100.00,1.92,7.00,7390.23,377.00,6,25,40,153.85,-  ,0.00,0.00,0.00,10.00,-   
