REZ / Constraint ID,REZ Name,Option,Additional network capacity (MW),With pre-req,Expected cost ($ million),Cost estimate source,Cost estimate class,$M/MW,Easement Length (km),Lead time,System strength connection costs ($M/MW)
S1-TBMO,Transmission Limit Constraint - ,Option 1,120,,34,ElectraNet,Class 5b,0.28,N/A,Short,Included as connection cost
T1,North East Tasmania,Option 1,800,,400,AEMO TCD,Class 5b,0.50,85,Medium,Included as connection cost
,,,800,,269,AEMO TCD,Class 5b,0.34,80,Long,
T2,North West Tasmania,Option 1,800,,"28 (with Marinus Link) 
304 (without Marinus Link)",AEMO TCD,Class 5a,0.38,"N/A (with Marinus Link)
59 (without Marinus Link)",Short,Included as connection cost
T2,North West Tasmania,Option 2,500,,258,AEMO TCD,Class 5a,0.52,65,Long,
T2,North West Tasmania,Option 3,800,,534,AEMO TCD,Class 5a,0.67,132,Medium,
T3,Central Highlands,Option 1,690,,"201 (with Marinus Link)
434 (without Marinus Link)",AEMO TCD,Class 5a,0.63,"0 (with Marinus Link)
0 (without Marinus Link)",Short,Included as connection cost
T3,Central Highlands,Option 2,675,,274,AEMO TCD,Class 5a,0.41,79,Long,
T4,North West Tasmania Coast,Option 1,1360,,206,AEMO TCD,Class 5a,0.15,53,Long,Included as connection cost
T5/NET1,North East Tasmania Coast,Option 1,900,,307,AEMO TCD,Class 5a,0.34,68,Long,Included as connection cost
V2,Murray River,Option 1,800,,912,AEMO TCD,Class 5b,1.14,275,Long,Included as connection cost
V3,Western Victoria,See V3-EAST secondary transmission limit constraint augmentations,,,,,,,,,
V4,South West Victoria,See SWV1 group constraint augmentations,,,,,,,,,
V5,Gippsland,See SEVIC1 transmission limit constraint augmentations,,,,,,,,,
V6,Central North Vic,Option 1,250,,709,AEMO TCD,Class 5b,2.84,175,Long,Included as connection cost
V6,Central North Vic,Option 2,500,,1110,AEMO TCD,Class 5b,2.22,290,Long,
V6,Central North Vic,Option 3,1500,,1077,AEMO TCD,Class 5b,0.72,160,Long,
V7,Gippsland Coast,Option 1,2000,,684,AEMO TCD,Class 5b,0.34,16,Long,Included as connection cost
V7,Gippsland Coast,Option 2,6000,,684,AEMO TCD,Class 5b,0.11,16,Long,
V8,Portland Coast,See SWV1 group constraint augmentations,,,,,,,,,
SWV1,Group Constraint - South West Victoria,Option 1,,,64,AEMO Victorian Planning,Class 5a,,0,Long,Included as connection cost
SWV1,Group Constraint - South West Victoria,Option 1A,1500,,725,AEMO Victorian Planning,Class 5a,0.53,170,Long,
SWV1,Group Constraint - South West Victoria,Option 1B,1750,,1013,AEMO Victorian Planning,Class 5a,0.58,64,Long,
SWV1,Group Constraint - South West Victoria,Option 1C,1750,,1372,AEMO Victorian Planning,Class 5a,0.78,96,Long,
SWV2,Group Constraint - South West Victoria,Option 2A,1950,,618,AEMO Victorian Planning,Class 5a,0.35,147,Long,
SWV3,Group Constraint - South West Victoria,Option 2B,2900,,803,AEMO Victorian Planning,Class 5a,0.30,147,Long,
SWV4,Group Constraint - South West Victoria,Option 3A,1800,,1076,AEMO Victorian Planning,Class 5a,0.63,271,Long,
SWV5,Group Constraint - South West Victoria,Option 3B,2800,,1325,AEMO Victorian Planning,Class 5a,0.50,271,Long,
SEVIC1,Transmission Limit Constraint - Gippsland,Option 1,1500,,254,AEMO TCD,Class 5b,0.17,14,Medium,Included as connection cost
SEVIC1,Transmission Limit Constraint - Gippsland,Option 2,1700,,947,AEMO TCD,Class 5b,0.56,0,Long,
V3-East,Secondary Transmission Limit - Western Victoria,Option 1,600,,163,AEMO TCD,Class 5b,0.27,43,Medium,Included as connection cost
