Region,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54
North Queensland,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
South QLD / NSW / VIC,-3.5%,-3.9%,-4.2%,-4.6%,-5.0%,-5.4%,-5.8%,-5.8%,-5.8%,-5.9%,-5.9%,-5.9%,-5.9%,-6.0%,-6.0%,-6.0%,-6.1%,-6.1%,-6.1%,-6.1%,-6.2%,-6.2%,-6.2%,-6.2%,-6.3%,-6.3%,-6.3%,-6.7%,-7.1%,-7.4%,-7.7%
Tasmania,-1.2%,-1.3%,-1.5%,-1.6%,-1.7%,-1.9%,-2.0%,-2.0%,-2.0%,-1.9%,-1.9%,-1.9%,-1.8%,-1.8%,-1.8%,-1.8%,-1.7%,-1.7%,-1.7%,-1.7%,-1.6%,-1.6%,-1.6%,-1.5%,-1.5%,-1.5%,-1.5%,-1.5%,-1.5%,-1.5%,-1.5%
