Region,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54
North Queensland,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
South QLD / NSW / VIC,-2.8%,-3.1%,-3.4%,-3.7%,-4.0%,-4.4%,-4.7%,-4.6%,-4.6%,-4.6%,-4.6%,-4.6%,-4.5%,-4.5%,-4.5%,-4.5%,-4.5%,-4.5%,-4.4%,-4.4%,-4.4%,-4.4%,-4.4%,-4.3%,-4.3%,-4.3%,-4.3%,-4.7%,-5.2%,-5.6%,-5.9%
Tasmania,-1.3%,-1.4%,-1.6%,-1.7%,-1.9%,-2.0%,-2.1%,-2.0%,-1.9%,-1.8%,-1.7%,-1.6%,-1.5%,-1.4%,-1.3%,-1.2%,-1.1%,-1.0%,-0.9%,-0.8%,-0.7%,-0.5%,-0.4%,-0.3%,-0.2%,-0.1%,0.0%,0.0%,0.0%,0.0%,0.1%
