Plain Name,Bus0,Bus1,Max or Min,Capability,Date From,Date To,Day Type
SNSW-CNSW,SNSW,CNSW,Max Flow,4900,1/07/2030,30/06/2053,NSW Typical Summer
SNSW-CNSW,SNSW,CNSW,Max Flow,5150,1/07/2030,30/06/2053,NSW Winter
SQ-CQ,SQ,CQ,Max Flow,1100,1/07/2024,1/07/2031,QLD Hot Day
SQ-CQ,SQ,CQ,Max Flow,1100,1/07/2024,1/07/2031,QLD Typical Summer
SQ-CQ,SQ,CQ,Max Flow,1100,1/07/2024,1/07/2031,QLD Winter
SQ-CQ,SQ,CQ,Max Flow,4250,1/07/2031,30/06/2053,QLD Hot Day
SQ-CQ,SQ,CQ,Max Flow,4250,1/07/2031,30/06/2053,QLD Typical Summer
SQ-CQ,SQ,CQ,Max Flow,4250,1/07/2031,30/06/2053,QLD Winter
CNSW-NNSW,CNSW,NNSW,Min Flow,-930,1/07/2024,1/07/2025,NSW Hot Day
CNSW-NNSW,CNSW,NNSW,Min Flow,-930,1/07/2024,1/07/2025,NSW Typical Summer
CNSW-NNSW,CNSW,NNSW,Min Flow,-1025,1/07/2024,1/07/2025,NSW Winter
CNSW-NNSW,CNSW,NNSW,Min Flow,-1230,1/07/2025,1/09/2028,NSW Hot Day
CNSW-NNSW,CNSW,NNSW,Min Flow,-1230,1/07/2025,1/09/2028,NSW Typical Summer
CNSW-NNSW,CNSW,NNSW,Min Flow,-1325,1/07/2025,1/09/2028,NSW Winter
CNSW-NNSW,CNSW,NNSW,Min Flow,-4230,1/09/2028,1/07/2030,NSW Hot Day
CNSW-NNSW,CNSW,NNSW,Min Flow,-4230,1/09/2028,1/07/2030,NSW Typical Summer
CNSW-NNSW,CNSW,NNSW,Min Flow,-4325,1/09/2028,1/07/2030,NSW Winter
CNSW-NNSW,CNSW,NNSW,Min Flow,-3930,1/07/2030,1/07/2034,NSW Hot Day
CNSW-NNSW,CNSW,NNSW,Min Flow,-3930,1/07/2030,1/07/2034,NSW Typical Summer
CNSW-NNSW,CNSW,NNSW,Min Flow,-4025,1/07/2030,1/07/2034,NSW Winter
CNSW-NNSW,CNSW,NNSW,Min Flow,-6930,1/07/2034,30/06/2053,NSW Hot Day
CNSW-NNSW,CNSW,NNSW,Min Flow,-6930,1/07/2034,30/06/2053,NSW Typical Summer
CNSW-NNSW,CNSW,NNSW,Min Flow,-7025,1/07/2034,30/06/2053,NSW Winter
CNSW-SNW,CNSW,SNW,Min Flow,-7030,1/07/2024,1/07/2025,NSW Hot Day
CNSW-SNW,CNSW,SNW,Min Flow,-7030,1/07/2024,1/07/2025,NSW Typical Summer
CNSW-SNW,CNSW,SNW,Min Flow,-7450,1/07/2024,1/07/2025,NSW Winter
CNSW-SNW,CNSW,SNW,Min Flow,-7030,1/07/2025,1/12/2028,NSW Hot Day
CNSW-SNW,CNSW,SNW,Min Flow,-7030,1/07/2025,1/12/2028,NSW Typical Summer
CNSW-SNW,CNSW,SNW,Min Flow,-7450,1/07/2025,1/12/2028,NSW Winter
CNSW-SNW,CNSW,SNW,Min Flow,-7030,1/12/2028,1/07/2029,NSW Hot Day
CNSW-SNW,CNSW,SNW,Min Flow,-7030,1/12/2028,1/07/2029,NSW Typical Summer
CNSW-SNW,CNSW,SNW,Min Flow,-7450,1/12/2028,1/07/2029,NSW Winter
CNSW-SNW,CNSW,SNW,Min Flow,-7030,1/07/2029,1/07/2030,NSW Hot Day
CNSW-SNW,CNSW,SNW,Min Flow,-7030,1/07/2029,1/07/2030,NSW Typical Summer
CNSW-SNW,CNSW,SNW,Min Flow,-7450,1/07/2029,1/07/2030,NSW Winter
CNSW-SNW,CNSW,SNW,Min Flow,-7030,1/07/2030,30/06/2053,NSW Hot Day
CNSW-SNW,CNSW,SNW,Min Flow,-7030,1/07/2030,30/06/2053,NSW Typical Summer
CNSW-SNW,CNSW,SNW,Min Flow,-7450,1/07/2030,30/06/2053,NSW Winter
CQ-GG,CQ,GG,Min Flow,-750,1/07/2024,1/07/2030,QLD Hot Day
CQ-GG,CQ,GG,Min Flow,-750,1/07/2024,1/07/2030,QLD Typical Summer
CQ-GG,CQ,GG,Min Flow,-1100,1/07/2024,1/07/2030,QLD Winter
CQ-GG,CQ,GG,Min Flow,-1250,1/07/2030,30/06/2053,QLD Hot Day
CQ-GG,CQ,GG,Min Flow,-1250,1/07/2030,30/06/2053,QLD Typical Summer
CQ-GG,CQ,GG,Min Flow,-1600,1/07/2030,30/06/2053,QLD Winter
CQ-NQ,CQ,NQ,Min Flow,-1200,1/07/2024,1/07/2044,QLD Hot Day
CQ-NQ,CQ,NQ,Min Flow,-1200,1/07/2024,1/07/2044,QLD Typical Summer
CQ-NQ,CQ,NQ,Min Flow,-1400,1/07/2024,1/07/2044,QLD Winter
CQ-NQ,CQ,NQ,Min Flow,-2300,1/07/2044,30/06/2053,QLD Hot Day
CQ-NQ,CQ,NQ,Min Flow,-2300,1/07/2044,30/06/2053,QLD Typical Summer
CQ-NQ,CQ,NQ,Min Flow,-2500,1/07/2044,30/06/2053,QLD Winter
SESA-CSA,SESA,CSA,Min Flow,-650,1/07/2024,1/07/2027,SA Hot Day
SESA-CSA,SESA,CSA,Min Flow,-650,1/07/2024,1/07/2027,SA Typical Summer
SESA-CSA,SESA,CSA,Min Flow,-650,1/07/2024,1/07/2027,SA Winter
SESA-CSA,SESA,CSA,Min Flow,-750,1/07/2027,30/06/2053,SA Hot Day
SESA-CSA,SESA,CSA,Min Flow,-750,1/07/2027,30/06/2053,SA Typical Summer
SESA-CSA,SESA,CSA,Min Flow,-750,1/07/2027,30/06/2053,SA Winter
SNSW-CNSW,SNSW,CNSW,Min Flow,-2320,1/07/2024,1/07/2025,NSW Hot Day
SNSW-CNSW,SNSW,CNSW,Min Flow,-2320,1/07/2024,1/07/2025,NSW Typical Summer
SNSW-CNSW,SNSW,CNSW,Min Flow,-2590,1/07/2024,1/07/2025,NSW Winter
SNSW-CNSW,SNSW,CNSW,Min Flow,-2320,1/07/2025,1/07/2029,NSW Hot Day
SNSW-CNSW,SNSW,CNSW,Min Flow,-2320,1/07/2025,1/07/2029,NSW Typical Summer
SNSW-CNSW,SNSW,CNSW,Min Flow,-2590,1/07/2025,1/07/2029,NSW Winter
SNSW-CNSW,SNSW,CNSW,Min Flow,-4520,1/07/2029,1/07/2030,NSW Hot Day
SNSW-CNSW,SNSW,CNSW,Min Flow,-4520,1/07/2029,1/07/2030,NSW Typical Summer
SNSW-CNSW,SNSW,CNSW,Min Flow,-4790,1/07/2029,1/07/2030,NSW Winter
SNSW-CNSW,SNSW,CNSW,Min Flow,-4520,1/07/2030,30/06/2053,NSW Hot Day
SNSW-CNSW,SNSW,CNSW,Min Flow,-4520,1/07/2030,30/06/2053,NSW Typical Summer
SNSW-CNSW,SNSW,CNSW,Min Flow,-4790,1/07/2030,30/06/2053,NSW Winter
SQ-CQ,SQ,CQ,Min Flow,-2100,1/07/2024,1/07/2031,QLD Hot Day
SQ-CQ,SQ,CQ,Min Flow,-2100,1/07/2024,1/07/2031,QLD Typical Summer
SQ-CQ,SQ,CQ,Min Flow,-2100,1/07/2024,1/07/2031,QLD Winter
SQ-CQ,SQ,CQ,Min Flow,-5250,1/07/2031,30/06/2053,QLD Hot Day
SQ-CQ,SQ,CQ,Min Flow,-5250,1/07/2031,30/06/2053,QLD Typical Summer
SQ-CQ,SQ,CQ,Min Flow,-5250,1/07/2031,30/06/2053,QLD Winter
