Fuel type,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33
Brown Coal,7.75%,7.37%,7.81%,7.85%,8.10%,6.58%,6.59%,6.58%,6.34%,6.40%
Black Coal NSW,6.31%,5.89%,6.11%,6.68%,7.28%,6.58%,6.59%,6.58%,6.34%,6.40%
Black Coal QLD,6.75%,6.94%,7.03%,7.05%,7.19%,6.58%,6.59%,6.58%,6.34%,6.40%
CCGT + Steam Turbine,5.04%,4.99%,5.05%,5.28%,5.47%,5.50%,5.53%,5.42%,5.65%,5.70%
