Generator,Generator type,Region,ISP sub-region,REZ location,Fuel/technology type,Maximum capacity (MW),Summer rating (MW),Summer typical rating (MW),Winter rating (MW),Maintenance duration (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat rate (GJ/MWh HHV s.o.),Fuel cost ($/GJ),Emissions (kg/MWh),MLF,Auxiliary load (%),SRMC ($/MWh),Expected retirement year
Bungala Two Solar Farm,Large scale Solar PV,SA,CSA,Northern SA,Solar,135,105,110,110,0.00,18.18,0.00,0.00,0.00,0.00,0.96,0.02,0,2044
Happy Valley Reservoir,Large scale Solar PV,SA,CSA,N/A,Solar,8,8,8,8,0.00,18.18,0.00,0.00,0.00,0.00,1.00,0.02,0,2041
Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),Large scale Solar PV,SA,SESA,South East SA,Solar,17,16,16,17,0.00,18.18,0.00,0.00,0.00,0.00,0.99,0.02,0,2041
Mannum Adelaide Pumping Station No 3 - MAPL3 (Tungkillo),Large scale Solar PV,SA,SESA,South East SA,Solar,12,12,12,12,0.00,18.18,0.00,0.00,0.00,0.00,0.99,0.02,0,2041
Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,Large scale Solar PV,SA,CSA,Riverland,Solar,6,6,6,6,0.00,18.18,0.00,0.00,0.00,0.00,0.98,0.02,0,2031
Morgan To Whyalla Pipeline No 2 PS,Large scale Solar PV,SA,CSA,Riverland,Solar,6,6,6,6,0.00,18.18,0.00,0.00,0.00,0.00,0.99,0.02,0,2041
Morgan To Whyalla Pipeline No 3 PS,Large scale Solar PV,SA,CSA,Riverland,Solar,7,7,7,7,0.00,18.18,0.00,0.00,0.00,0.00,0.98,0.02,0,2045
Morgan To Whyalla Pipeline No 4 PS,Large scale Solar PV,SA,CSA,Riverland,Solar,6,6,6,6,0.00,18.18,0.00,0.00,0.00,0.00,0.98,0.02,0,2041
Murray Bridge - Onkaparinga Pipeline Pump 2,Large scale Solar PV,SA,SESA,South East SA,Solar,14,13,13,14,0.00,18.18,0.00,0.00,0.00,0.00,1.00,0.02,0,2041
Port Augusta Renewable Energy Park - Solar,Large scale Solar PV,SA,CSA,Northern SA,Solar,79,79,79,79,0.00,18.18,0.00,0.00,0.00,0.00,0.97,0.02,0,2047
Tailem Bend Solar Farm,Large scale Solar PV,SA,CSA,N/A,Solar,108,95,95,95,0.00,18.18,0.00,0.00,0.00,0.00,1.00,0.02,0,2049
Tailem Bend Solar Farm - stage 2,Large scale Solar PV,SA,CSA,N/A,Solar,105,87,87,87,0.00,18.18,0.00,0.00,0.00,0.00,1.01,0.02,0,2053
Bannerton Solar Park,Large scale Solar PV,VIC,VIC,Murray River,Solar,100,84,84,88,0.00,18.18,0.00,0.00,0.00,0.00,0.89,0.02,0,2049
Cohuna Solar Farm,Large scale Solar PV,VIC,VIC,Murray River,Solar,31,25,27,27,0.00,18.18,0.00,0.00,0.00,0.00,0.94,0.02,0,2045
Gannawarra Solar Farm,Large scale Solar PV,VIC,VIC,Murray River,Solar,55,48,49,50,0.00,18.18,0.00,0.00,0.00,0.00,0.94,0.02,0,2048
Glenrowan West Solar Farm,Large scale Solar PV,VIC,VIC,Central North Vic,Solar,132,103,107,110,0.00,18.18,0.00,0.00,0.00,0.00,0.97,0.02,0,2051
Karadoc Solar Farm,Large scale Solar PV,VIC,VIC,Murray River,Solar,105,90,90,90,0.00,18.18,0.00,0.00,0.00,0.00,0.89,0.02,0,2048
Kiamal Solar Farm stage 1,Large scale Solar PV,VIC,VIC,Murray River,Solar,200,189,198,200,0.00,18.18,0.00,0.00,0.00,0.00,0.88,0.02,0,2049
Numurkah Solar Farm,Large scale Solar PV,VIC,VIC,Central North Vic,Solar,101,100,100,100,0.00,18.18,0.00,0.00,0.00,0.00,0.97,0.02,0,2044
Wemen Solar Farm,Large scale Solar PV,VIC,VIC,Murray River,Solar,98,82,86,88,0.00,18.18,0.00,0.00,0.00,0.00,0.89,0.02,0,2049
Winton Solar Farm,Large scale Solar PV,VIC,VIC,Central North Vic,Solar,85,85,85,85,0.00,18.18,0.00,0.00,0.00,0.00,0.97,0.02,0,2051
Wyalong Solar Farm,Large scale Solar PV,NSW,SNSW,N/A,Solar,62,53,53,53,0.00,18.18,0.00,0.00,0.00,0.00,0.91,0.02,0,2053
Yatpool Solar Farm,Large scale Solar PV,VIC,VIC,Murray River,Solar,94,79,81,81,0.00,18.18,0.00,0.00,0.00,0.00,0.89,0.02,0,2050
Bango 973 Wind Farm,Wind,NSW,SNSW,N/A,Wind,159,0,159,159,0.00,26.73,0.00,0.00,0.00,0.00,0.92,0.07,0,2045
Bango 999 Wind Farm,Wind,NSW,SNSW,N/A,Wind,85,0,85,85,0.00,26.73,0.00,0.00,0.00,0.00,0.93,0.07,0,2045
Boco Rock Wind Farm,Wind,NSW,SNSW,Cooma-Monaro,Wind,113,104,113,113,0.00,26.73,0.00,0.00,0.00,0.00,0.94,0.07,0,2040
Bodangora Wind Farm,Wind,NSW,CNSW,Central-West Orana,Wind,113,113,113,113,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2049
Capital Wind Farm,Wind,NSW,SNSW,N/A,Wind,141,141,141,141,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2040
Collector Wind Farm,Wind,NSW,SNSW,N/A,Wind,227,124,211,219,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2046
Crookwell 2 Wind Farm,Wind,NSW,SNSW,N/A,Wind,96,91,91,91,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2043
Crudine Ridge Wind Farm,Wind,NSW,CNSW,N/A,Wind,142,0,138,138,0.00,26.73,0.00,0.00,0.00,0.00,0.93,0.07,0,2041
Cullerin Range Wind Farm,Wind,NSW,SNSW,N/A,Wind,30,30,30,30,0.00,26.73,0.00,0.00,0.00,0.00,0.94,0.07,0,2038
Gullen Range Wind Farm,Wind,NSW,SNSW,N/A,Wind,166,166,166,166,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2100
Gullen Range Wind Farm 2,Wind,NSW,SNSW,N/A,Wind,111,105,111,111,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2120
Gunning Wind Farm,Wind,NSW,SNSW,N/A,Wind,47,47,47,47,0.00,26.73,0.00,0.00,0.00,0.00,0.94,0.07,0,2036
Sapphire Wind Farm,Wind,NSW,NNSW,New England,Wind,270,156,252,270,0.00,26.73,0.00,0.00,0.00,0.00,0.91,0.07,0,2043
Silverton Wind Farm,Wind,NSW,SNSW,Broken Hill,Wind,199,119,198,198,0.00,26.73,0.00,0.00,0.00,0.00,0.81,0.07,0,2043
Taralga Wind Farm,Wind,NSW,CNSW,N/A,Wind,107,107,107,107,0.00,26.73,0.00,0.00,0.00,0.00,1.01,0.07,0,2040
White Rock Wind Farm - Stage 1,Wind,NSW,NNSW,New England,Wind,172,0,172,172,0.00,26.73,0.00,0.00,0.00,0.00,0.83,0.07,0,2038
Woodlawn Wind Farm,Wind,NSW,SNSW,N/A,Wind,48,48,48,48,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2041
Coopers Gap Wind Farm,Wind,QLD,SQ,Darling Downs,Wind,453,440,440,440,0.00,26.73,0.00,0.00,0.00,0.00,0.97,0.07,0,2044
Kaban Green Power Hub - Wind Farm,Wind,QLD,NQ,Far North QLD,Wind,157,152,152,152,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2048
Kennedy Energy Park Wind Farm,Wind,QLD,NQ,North Qld Clean Energy Hub,Wind,43,36,43,43,0.00,26.73,0.00,0.00,0.00,0.00,0.97,0.07,0,2046
Mount Emerald Wind Farm,Wind,QLD,NQ,Far North QLD,Wind,181,167,180,180,0.00,26.73,0.00,0.00,0.00,0.00,0.95,0.07,0,2043
Canunda Wind Farm,Wind,SA,SESA,South East SA,Wind,46,0,46,46,0.00,26.73,0.00,0.00,0.00,0.00,0.97,0.07,0,2035
Cathedral Rocks Wind Farm,Wind,SA,CSA,Eastern Eyre Peninsula,Wind,62,0,0,0,0.00,26.73,0.00,0.00,0.00,0.00,0.93,0.07,0,2030
Clements Gap Wind Farm,Wind,SA,CSA,Mid-North SA,Wind,57,57,57,57,0.00,26.73,0.00,0.00,0.00,0.00,0.95,0.07,0,2039
Hallett 4 North Brown Hill Wind Farm,Wind,SA,CSA,Mid-North SA,Wind,132,88,132,132,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2036
Hallett 5 The Bluff Wind Farm,Wind,SA,CSA,Mid-North SA,Wind,53,35,53,53,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2036
Hallett Stage 1 Brown Hill Wind Farm,Wind,SA,CSA,Mid-North SA,Wind,95,63,95,95,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2043
Hallett Stage 2 Hallett Hill Wind Farm,Wind,SA,CSA,Mid-North SA,Wind,71,48,71,71,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2035
Hornsdale Wind Farm Stage 1,Wind,SA,CSA,Mid-North SA,Wind,102,100,100,100,0.00,26.73,0.00,0.00,0.00,0.00,0.95,0.07,0,2056
Hornsdale Wind Farm Stage 2,Wind,SA,CSA,Mid-North SA,Wind,102,100,100,100,0.00,26.73,0.00,0.00,0.00,0.00,0.95,0.07,0,2057
Hornsdale Wind Farm Stage 3,Wind,SA,CSA,Mid-North SA,Wind,112,109,109,109,0.00,26.73,0.00,0.00,0.00,0.00,0.95,0.07,0,2057
Lake Bonney 1 Wind Farm,Wind,SA,SESA,South East SA,Wind,81,81,81,81,0.00,26.73,0.00,0.00,0.00,0.00,0.97,0.07,0,2035
Lake Bonney 2 Wind Farm,Wind,SA,SESA,South East SA,Wind,159,159,159,159,0.00,26.73,0.00,0.00,0.00,0.00,0.97,0.07,0,2038
Lake Bonney 3 Wind Farm,Wind,SA,SESA,South East SA,Wind,39,39,39,39,0.00,26.73,0.00,0.00,0.00,0.00,0.97,0.07,0,2040
Lincoln Gap Wind Farm - stage 1,Wind,SA,CSA,Northern SA,Wind,126,42,123,123,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2045
Lincoln Gap Wind Farm - stage 2,Wind,SA,CSA,Northern SA,Wind,86,38,84,84,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2045
Mount Millar Wind Farm,Wind,SA,CSA,Eastern Eyre Peninsula,Wind,72,72,72,72,0.00,26.73,0.00,0.00,0.00,0.00,0.93,0.07,0,2035
Port Augusta Renewable Energy Park - Wind,Wind,SA,CSA,Northern SA,Wind,210,210,210,210,0.00,26.73,0.00,0.00,0.00,0.00,0.97,0.07,0,2052
Snowtown S2 Wind Farm,Wind,SA,CSA,Mid-North SA,Wind,270,250,270,270,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2039
Snowtown Wind Farm,Wind,SA,CSA,Mid-North SA,Wind,99,66,99,99,0.00,26.73,0.00,0.00,0.00,0.00,0.90,0.07,0,2033
Starfish Hill Wind Farm,Wind,SA,CSA,N/A,Wind,33,0,0,0,0.00,26.73,0.00,0.00,0.00,0.00,1.00,0.07,0,2027
Waterloo Wind Farm,Wind,SA,CSA,Mid-North SA,Wind,131,9,130,131,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2045
Wattle Point Wind Farm,Wind,SA,CSA,Yorke Peninsula,Wind,91,0,0,0,0.00,26.73,0.00,0.00,0.00,0.00,0.81,0.07,0,2029
Willogoleche Wind Farm,Wind,SA,CSA,Mid-North SA,Wind,119,0,119,119,0.00,26.73,0.00,0.00,0.00,0.00,0.95,0.07,0,2043
Cattle Hill Wind Farm,Wind,TAS,TAS,Central Highlands,Wind,144,144,144,144,0.00,26.73,0.00,0.00,0.00,0.00,0.89,0.07,0,2044
Granville Harbour Wind Farm,Wind,TAS,TAS,North West Tasmania,Wind,112,112,112,112,0.00,26.73,0.00,0.00,0.00,0.00,0.94,0.07,0,2055
Musselroe Wind Farm,Wind,TAS,TAS,N/A,Wind,168,168,168,168,0.00,26.73,0.00,0.00,0.00,0.00,0.91,0.07,0,2050
Woolnorth Wind Farm,Wind,TAS,TAS,N/A,Wind,140,140,140,140,0.00,26.73,0.00,0.00,0.00,0.00,0.91,0.07,0,2050
Ararat Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,240,150,240,240,0.00,26.73,0.00,0.00,0.00,0.00,0.89,0.07,0,2047
Bald Hills Wind Farm,Wind,VIC,VIC,N/A,Wind,107,107,107,107,0.00,26.73,0.00,0.00,0.00,0.00,0.98,0.07,0,2040
Berrybank Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,290,281,281,281,0.00,26.73,0.00,0.00,0.00,0.00,0.94,0.07,0,2050
Bulgana Green Power Hub - Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,204,204,204,204,0.00,26.73,0.00,0.00,0.00,0.00,0.88,0.07,0,2049
Challicum Hills Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,53,53,53,53,0.00,26.73,0.00,0.00,0.00,0.00,0.98,0.07,0,2033
Cherry Tree Wind Farm,Wind,VIC,VIC,N/A,Wind,58,43,54,58,0.00,26.73,0.00,0.00,0.00,0.00,1.00,0.07,0,2050
Crowlands Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,80,80,80,80,0.00,26.73,0.00,0.00,0.00,0.00,0.89,0.07,0,2050
Dulacca Wind Farm,Wind,QLD,SQ,Darling Downs,Wind,173,160,164,173,0.00,26.73,0.00,0.00,0.00,0.00,0.98,0.07,0,2053
Dundonnell Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,336,216,304,336,0.00,26.73,0.00,0.00,0.00,0.00,0.99,0.07,0,2045
Elaine Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,84,59,74,84,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2049
Kiata Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,31,27,30,31,0.00,26.73,0.00,0.00,0.00,0.00,0.88,0.07,0,2042
Macarthur Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,420,420,420,420,0.00,26.73,0.00,0.00,0.00,0.00,0.98,0.07,0,2038
Moorabool Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,312,312,312,312,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2044
Mortlake South Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,158,158,158,158,0.00,26.73,0.00,0.00,0.00,0.00,0.95,0.07,0,2047
Mortons Lane Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,20,20,20,20,0.00,26.73,0.00,0.00,0.00,0.00,0.99,0.07,0,2042
Mt Gellibrand Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,139,0,132,132,0.00,26.73,0.00,0.00,0.00,0.00,0.99,0.07,0,2043
Mt Mercer Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,131,0,131,131,0.00,26.73,0.00,0.00,0.00,0.00,0.96,0.07,0,2043
Murra Warra Wind Farm - stage 1,Wind,VIC,VIC,Western Victoria,Wind,226,176,226,226,0.00,26.73,0.00,0.00,0.00,0.00,0.88,0.07,0,2049
Murra Warra Wind Farm - stage 2,Wind,VIC,VIC,Western Victoria,Wind,209,189,209,209,0.00,26.73,0.00,0.00,0.00,0.00,0.88,0.07,0,2052
Oaklands Hill Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,67,41,63,63,0.00,26.73,0.00,0.00,0.00,0.00,0.99,0.07,0,2037
Portland Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,152,152,152,152,0.00,26.73,0.00,0.00,0.00,0.00,0.97,0.07,0,2040
Salt Creek Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,54,38,51,54,0.00,26.73,0.00,0.00,0.00,0.00,0.95,0.07,0,2043
Stockyard Hill Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,528,511,511,511,0.00,26.73,0.00,0.00,0.00,0.00,0.99,0.07,0,2045
Waubra Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,192,192,192,192,0.00,26.73,0.00,0.00,0.00,0.00,0.92,0.07,0,2034
Yaloak South Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,29,29,29,29,0.00,26.73,0.00,0.00,0.00,0.00,0.98,0.07,0,2048
Yambuk Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,30,30,30,30,0.00,26.73,0.00,0.00,0.00,0.00,0.99,0.07,0,2040
Yendon Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,144,103,127,144,0.00,26.73,0.00,0.00,0.00,0.00,0.95,0.07,0,2049
