Generator,Generator type,Region,ISP sub-region,REZ location,Fuel/technology type,Maximum capacity (MW),Summer rating (MW),Summer typical rating (MW),Winter rating (MW),Maintenance duration (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat rate (GJ/MWh HHV s.o.),Fuel cost ($/GJ),Emissions (kg/MWh),MLF,Auxiliary load (%),SRMC ($/MWh),Expected retirement year
Oakey Power Station,OCGT,QLD,SQ,N/A,OCGT,346,288,300,346,1.37,18.08,12.57,10.94,16.91,663.68,0.96,0.61,197.60,2050
Roma,OCGT,QLD,SQ,N/A,OCGT,80,54,60,68,1.37,18.08,12.57,11.88,16.62,649.90,0.96,0.61,209.98,2034
Bolivar Power Station,OCGT,SA,CSA,N/A,OCGT,123,95,108,126,1.37,13.47,12.83,10.19,16.90,541.60,0.99,0.61,185.07,2045
Dry Creek GT,OCGT,SA,CSA,N/A,OCGT,156,117,122,0,1.37,18.08,12.57,13.69,16.90,892.19,1.00,0.61,243.93,2030
Hallett GT,OCGT,SA,CSA,N/A,OCGT,277,223,235,249,1.37,18.08,12.57,14.88,16.60,642.66,0.96,0.61,259.52,2032
Ladbroke Grove,OCGT,SA,SESA,N/A,OCGT,80,70,74,84,1.37,18.08,12.57,11.88,16.60,516.24,0.97,0.61,209.80,2035
Mintaro GT,OCGT,SA,CSA,N/A,OCGT,90,68,73,0,1.37,18.08,12.57,12.72,16.90,693.54,0.97,0.61,227.58,2030
Port Lincoln GT,OCGT,SA,CSA,N/A,Liquid Fuel,74,57,62,0,1.37,18.08,12.57,12.81,35.43,1334.59,0.98,0.67,466.49,2027
Quarantine,OCGT,SA,CSA,N/A,OCGT,234,189,200,224,1.37,18.08,12.57,10.71,16.90,603.98,0.99,0.61,193.67,2053
Snapper Point Power Station,OCGT,SA,CSA,N/A,OCGT,154,123,138,157,1.37,13.47,12.83,10.19,16.75,541.60,1.00,0.61,183.54,2046
Snuggery,OCGT,SA,SESA,N/A,Liquid Fuel,63,54,57,0,1.37,18.08,12.57,13.43,35.43,1106.88,0.99,0.67,488.51,2027
Bell Bay Three,OCGT,TAS,TAS,N/A,OCGT,120,105,105,105,1.37,18.08,12.57,12.04,16.95,618.77,1.00,0.61,216.64,2040
Tamar Valley Peaking,OCGT,TAS,TAS,N/A,OCGT,58,58,58,58,1.37,18.08,12.57,12.72,15.74,618.77,1.00,0.61,212.79,2050
Bairnsdale,OCGT,VIC,VIC,N/A,OCGT,94,57,73,88,1.37,18.08,12.57,10.50,16.57,537.05,0.98,0.61,186.50,2042
Jeeralang A,OCGT,VIC,VIC,N/A,OCGT,212,186,200,222,1.37,18.08,12.57,15.25,16.32,757.96,0.98,0.61,261.54,2039
