IASR ID,Power Station,Technology Type,Region,Sub-region,REZ Location,REZ ID,Status,Regional build cost zone,Maximum capacity (MW),Storage capacity (MWh),SP2025-26,ST2032-33,W2033,Minimum Stable Limit,No-Load  Heat Rate,Marginal Heat Rate,Pumping efficiency (%),Charge efficiency (%),Discharge efficiency (%),Allowable max state of charge (%),Allowable min state of charge (%),Round trip efficiency (%),Annual degradation (%),Max Ramp Up (MW/min),Max Ramp Down (MW/min),Maintenance - Proportion of time out (%),Maintenance - Equivalent average days per year on planned outage,Full outage (% of time),Partial outage (% of time),Full outage MTTR (hrs),Partial outage MTTR (hrs),Partial Outage Derating Factor (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat rate (GJ/MWh HHV s.o.),Fuel cost ($/GJ),Scope 1 Emissions (kg/MWh),MLF,Auxiliary load (% of nameplate capacity),SRMC ($/MWh),Expected Closure Year (Calendar year),Retirement / Rehabilitation cost ($/MW),Fault Level Replacement Cost ($M)
TARONG#2,Tarong,Steam Sub Critical,QLD,SQ,Not Applicable,Not Applicable,Existing,Not Applicable,350,,350,350,350,140,504.00,8.57,not found,not found,not found,not found,not found,not found,not found,4,4,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,38.00,7.00,10.01,3.86,572.95,0.97,6.67,45.62,2036,254000,59.77
TARONG#3,Tarong,Steam Sub Critical,QLD,SQ,Not Applicable,Not Applicable,Existing,Not Applicable,350,,350,350,350,140,504.00,8.57,not found,not found,not found,not found,not found,not found,not found,4,4,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,38.00,7.00,10.01,3.86,572.95,0.97,6.67,45.62,2037,254000,59.77
TARONG#4,Tarong,Steam Sub Critical,QLD,SQ,Not Applicable,Not Applicable,Existing,Not Applicable,350,,350,350,350,140,504.00,8.57,not found,not found,not found,not found,not found,not found,not found,4,4,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,38.00,7.00,10.01,3.86,572.95,0.97,6.67,45.62,2037,254000,59.77
TNPS1,Tarong North,Steam Super Critical,QLD,SQ,Not Applicable,Not Applicable,Existing,Not Applicable,450,,443,443,443,180,648.00,7.77,not found,not found,not found,not found,not found,not found,not found,4,4,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,52.00,8.00,9.21,3.86,572.95,0.97,6.67,43.53,2037,247000,76.84
VP5,Vales Point B,Steam Sub Critical,NSW,SNW,Not Applicable,Not Applicable,Existing,Not Applicable,660,,660,660,660,180,648.00,9.20,not found,not found,not found,not found,not found,not found,not found,6,6,5.48,20.00,5.33%,30.52%,148.7062284,27.53229991,18.65%,28.00,8.00,10.19,7.02,641.02,0.99,5.48,79.47,2033,254000,112.70
VP6,Vales Point B,Steam Sub Critical,NSW,SNW,Not Applicable,Not Applicable,Existing,Not Applicable,660,,660,660,660,180,648.00,9.20,not found,not found,not found,not found,not found,not found,not found,6,6,5.48,20.00,5.33%,30.52%,148.7062284,27.53229991,18.65%,28.00,8.00,10.19,7.02,641.02,0.99,5.48,79.47,2033,254000,112.70
LYA1,Loy Yang A Power Station,Steam Sub Critical,VIC,SEV,Not Applicable,Not Applicable,Existing,Not Applicable,560,,540,560,560,210,756.00,12.02,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,7.92%,15.51%,91.07467335,38.89655198,12.93%,63.00,8.00,13.37,0.87,780.38,0.98,8.37,19.57,2035,254000,95.63
LYA2,Loy Yang A Power Station,Steam Sub Critical,VIC,SEV,Not Applicable,Not Applicable,Existing,Not Applicable,530,,500,530,530,210,756.00,11.94,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,7.92%,15.51%,91.07467335,38.89655198,12.93%,63.00,8.00,13.37,0.87,780.38,0.98,8.37,19.57,2035,254000,90.50
LYA3,Loy Yang A Power Station,Steam Sub Critical,VIC,SEV,Not Applicable,Not Applicable,Existing,Not Applicable,560,,510,560,560,210,756.00,12.02,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,7.92%,15.51%,91.07467335,38.89655198,12.93%,63.00,8.00,13.37,0.87,780.38,0.98,8.37,19.57,2035,254000,95.63
LYA4,Loy Yang A Power Station,Steam Sub Critical,VIC,SEV,Not Applicable,Not Applicable,Existing,Not Applicable,560,,530,540,560,210,756.00,12.02,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,7.92%,15.51%,91.07467335,38.89655198,12.93%,63.00,8.00,13.37,0.87,780.38,0.98,8.37,19.57,2035,254000,95.63
LOYYB1,Loy Yang B,Steam Sub Critical,VIC,SEV,Not Applicable,Not Applicable,Existing,Not Applicable,580,,545,560,580,200,720.00,12.39,not found,not found,not found,not found,not found,not found,not found,10,10,5.48,20.00,7.92%,15.51%,91.07467335,38.89655198,12.93%,63.00,8.00,13.63,0.88,751.56,0.98,8.37,19.94,2047,254000,99.04
LOYYB2,Loy Yang B,Steam Sub Critical,VIC,SEV,Not Applicable,Not Applicable,Existing,Not Applicable,580,,545,560,580,200,720.00,12.39,not found,not found,not found,not found,not found,not found,not found,10,10,5.48,20.00,7.92%,15.51%,91.07467335,38.89655198,12.93%,63.00,8.00,13.63,0.88,751.56,0.98,8.37,19.94,2047,254000,99.04
YWPS1,Yallourn W,Steam Sub Critical,VIC,SEV,Not Applicable,Not Applicable,Existing,Not Applicable,350,,320,0,0,200,720.00,13.39,not found,not found,not found,not found,not found,not found,not found,3,3,5.48,20.00,7.92%,15.51%,91.07467335,38.89655198,12.93%,45.00,8.00,15.44,0.90,853.71,0.97,8.37,21.84,2028,254000,59.77
YWPS2,Yallourn W,Steam Sub Critical,VIC,SEV,Not Applicable,Not Applicable,Existing,Not Applicable,350,,330,0,0,200,720.00,13.39,not found,not found,not found,not found,not found,not found,not found,3,3,5.48,20.00,7.92%,15.51%,91.07467335,38.89655198,12.93%,45.00,8.00,15.44,0.90,853.71,0.97,8.37,21.84,2028,254000,59.77
YWPS3,Yallourn W,Steam Sub Critical,VIC,SEV,Not Applicable,Not Applicable,Existing,Not Applicable,375,,360,0,0,200,720.00,13.52,not found,not found,not found,not found,not found,not found,not found,3,3,5.48,20.00,7.92%,15.51%,91.07467335,38.89655198,12.93%,45.00,8.00,15.44,0.90,853.71,0.97,8.37,21.84,2028,254000,64.03
YWPS4,Yallourn W,Steam Sub Critical,VIC,SEV,Not Applicable,Not Applicable,Existing,Not Applicable,375,,360,0,0,200,720.00,13.52,not found,not found,not found,not found,not found,not found,not found,3,3,5.48,20.00,7.92%,15.51%,91.07467335,38.89655198,12.93%,45.00,8.00,15.44,0.90,853.71,0.97,8.37,21.84,2028,254000,64.03
ANGAS1,Angaston,Reciprocating engine,SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,31,,27,27,27,3,0.00,13.10,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,1.64,6.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,36.00,9.00,13.10,29.69,458.11,1.01,0.76,398.01,2070,58000,not found
ANGAS2,Angaston,Reciprocating engine,SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,15,,18,18,18,3,0.00,13.10,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,1.64,6.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,36.00,9.00,13.10,29.69,458.11,1.01,0.76,398.01,2070,58000,not found
BDL01,Bairnsdale,OCGT (small GT),VIC,SEV,Not Applicable,Not Applicable,Existing,Not Applicable,47,,37,37,44,20,72.00,9.07,not found,not found,not found,not found,not found,not found,not found,9,5,1.57,5.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,28.00,9.00,10.60,18.19,353.49,0.98,0.73,201.85,2042,38000,not found
BDL02,Bairnsdale,OCGT (small GT),VIC,SEV,Not Applicable,Not Applicable,Existing,Not Applicable,47,,37,37,44,20,72.00,9.07,not found,not found,not found,not found,not found,not found,not found,9,7,1.57,5.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,28.00,9.00,10.60,18.19,353.49,0.98,0.73,201.85,2042,38000,not found
BARCALDN,Barcaldine Power Station,OCGT (small GT),QLD,CQ,Not Applicable,Not Applicable,Existing,Not Applicable,37,,32,36,37,20,72.00,10.90,not found,not found,not found,not found,not found,not found,not found,3,3,1.57,5.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,30.00,10.00,12.85,14.91,834.03,0.94,0.73,201.55,2034,38000,not found
BIPS1_01,Barker Inlet Power Station,Reciprocating engine,SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,18,,17,18,18,8,0.00,8.14,not found,not found,not found,not found,not found,not found,not found,5,4,1.64,6.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,36.00,9.00,8.88,18.54,380.08,1.00,1.00,173.60,2044,58000,not found
BIPS1_02,Barker Inlet Power Station,Reciprocating engine,SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,18,,17,18,18,8,0.00,8.14,not found,not found,not found,not found,not found,not found,not found,5,4,1.64,6.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,36.00,9.00,8.88,18.54,380.08,1.00,1.00,173.60,2044,58000,not found
BIPS1_03,Barker Inlet Power Station,Reciprocating engine,SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,18,,17,18,18,8,0.00,8.14,not found,not found,not found,not found,not found,not found,not found,5,4,1.64,6.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,36.00,9.00,8.88,18.54,380.08,1.00,1.00,173.60,2044,58000,not found
BIPS1_04,Barker Inlet Power Station,Reciprocating engine,SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,18,,17,18,18,8,0.00,8.14,not found,not found,not found,not found,not found,not found,not found,5,4,1.64,6.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,36.00,9.00,8.88,18.54,380.08,1.00,1.00,173.60,2044,58000,not found
BIPS1_05,Barker Inlet Power Station,Reciprocating engine,SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,18,,17,18,18,8,0.00,8.14,not found,not found,not found,not found,not found,not found,not found,5,4,1.64,6.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,36.00,9.00,8.88,18.54,380.08,1.00,1.00,173.60,2044,58000,not found
BIPS1_06,Barker Inlet Power Station,Reciprocating engine,SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,18,,17,18,18,8,0.00,8.14,not found,not found,not found,not found,not found,not found,not found,5,4,1.64,6.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,36.00,9.00,8.88,18.54,380.08,1.00,1.00,173.60,2044,58000,not found
BIPS1_07,Barker Inlet Power Station,Reciprocating engine,SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,18,,17,18,18,8,0.00,8.14,not found,not found,not found,not found,not found,not found,not found,5,4,1.64,6.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,36.00,9.00,8.88,18.54,380.08,1.00,1.00,173.60,2044,58000,not found
BIPS1_08,Barker Inlet Power Station,Reciprocating engine,SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,18,,17,18,18,8,0.00,8.14,not found,not found,not found,not found,not found,not found,not found,5,4,1.64,6.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,36.00,9.00,8.88,18.54,380.08,1.00,1.00,173.60,2044,58000,not found
BIPS1_09,Barker Inlet Power Station,Reciprocating engine,SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,18,,17,18,18,8,0.00,8.14,not found,not found,not found,not found,not found,not found,not found,5,4,1.64,6.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,36.00,9.00,8.88,18.54,380.08,1.00,1.00,173.60,2044,58000,not found
BIPS1_10,Barker Inlet Power Station,Reciprocating engine,SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,18,,17,18,18,8,0.00,8.14,not found,not found,not found,not found,not found,not found,not found,5,4,1.64,6.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,36.00,9.00,8.88,18.54,380.08,1.00,1.00,173.60,2044,58000,not found
BIPS1_11,Barker Inlet Power Station,Reciprocating engine,SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,18,,17,18,18,8,0.00,8.14,not found,not found,not found,not found,not found,not found,not found,5,4,1.64,6.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,36.00,9.00,8.88,18.54,380.08,1.00,1.00,173.60,2044,58000,not found
BIPS1_12,Barker Inlet Power Station,Reciprocating engine,SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,18,,17,18,18,8,0.00,8.14,not found,not found,not found,not found,not found,not found,not found,5,4,1.64,6.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,36.00,9.00,8.88,18.54,380.08,1.00,1.00,173.60,2044,58000,not found
BBTHREE1,Bell Bay Three,OCGT (large GT),TAS,TAS,Not Applicable,Not Applicable,Existing,Not Applicable,40,,22,22,22,20,72.00,10.61,not found,not found,not found,not found,not found,not found,not found,7,8,1.57,5.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,27.00,12.00,12.41,19.31,317.80,1.00,0.73,251.64,2040,37000,not found
BBTHREE2,Bell Bay Three,OCGT (large GT),TAS,TAS,Not Applicable,Not Applicable,Existing,Not Applicable,40,,25,25,25,20,72.00,10.61,not found,not found,not found,not found,not found,not found,not found,7,8,1.57,5.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,27.00,12.00,12.41,19.31,317.80,1.00,0.73,251.64,2040,37000,not found
BBTHREE3,Bell Bay Three,OCGT (large GT),TAS,TAS,Not Applicable,Not Applicable,Existing,Not Applicable,40,,23,23,23,20,72.00,10.61,not found,not found,not found,not found,not found,not found,not found,7,8,1.57,5.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,27.00,12.00,12.41,19.31,317.80,1.00,0.73,251.64,2040,37000,not found
BOLIVPS1_1,Bolivar Power Station,OCGT (small GT),SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,32,,25,27,31,4,14.40,10.18,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,1.57,5.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,28.00,9.00,10.65,19.39,358.52,1.00,0.73,215.50,2045,38000,not found
BOLIVPS1_2,Bolivar Power Station,OCGT (small GT),SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,32,,25,27,31,4,14.40,10.18,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,1.57,5.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,28.00,9.00,10.65,19.39,358.52,1.00,0.73,215.50,2045,38000,not found
BOLIVPS1_3,Bolivar Power Station,OCGT (small GT),SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,32,,25,27,31,4,14.40,10.18,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,1.57,5.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,28.00,9.00,10.65,19.39,358.52,1.00,0.73,215.50,2045,38000,not found
BOLIVPS1_4,Bolivar Power Station,OCGT (small GT),SA,CSA,Not Applicable,Not Applicable,Existing,Not Applicable,32,,25,27,31,4,14.40,10.18,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,1.57,5.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,28.00,9.00,10.65,19.39,358.52,1.00,0.73,215.50,2045,38000,not found
BRAEMAR1,Braemar,OCGT (large GT),QLD,SQ,Not Applicable,Not Applicable,Existing,Not Applicable,188,,167,173,181,110,396.00,9.89,not found,not found,not found,not found,not found,not found,not found,22,14,1.57,5.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,27.00,12.00,12.00,14.47,384.70,0.97,0.73,185.70,2046,37000,not found
BRAEMAR2,Braemar,OCGT (large GT),QLD,SQ,Not Applicable,Not Applicable,Existing,Not Applicable,188,,167,173,181,110,396.00,9.89,not found,not found,not found,not found,not found,not found,not found,20,14,1.57,5.00,8.45%,2.92%,78.56825335,117.6745166,18.52%,27.00,12.00,12.00,14.47,384.70,0.97,0.73,185.70,2046,37000,not found
